epoch,loss,sdv_score,ks_score,tstr_accuracy,composite_score
50,8.784467697143555,0.8338407389671572,1.099293702400045e-42,0.8070947170649754,0.5756647107063555
100,9.873115539550781,0.8744120493591032,2.76322946994223e-39,0.8070947170649754,0.5918932348631339
150,2.8092336654663086,0.8749252953208682,1.631672478882828e-37,0.8070947170649754,0.5920985332478399
200,5.0706281661987305,0.8709634494008547,4.2501421824755395e-41,0.8070947170649754,0.5905137948798345
250,0.9151477813720703,0.8599261423792,3.4684526504713628e-40,0.8070947170649754,0.5860988720711726
300,1.4938974380493164,0.8881769651679742,1.4064734043549738e-46,0.8070947170649754,0.5973992011866823
350,2.023177146911621,0.8668520162862219,1.4744076345507188e-41,0.8070947170649754,0.5888692216339814
400,3.612624168395996,0.8559425414819372,4.977445508821203e-39,0.8070947170649754,0.5845054317122674
450,1.7358665466308594,0.8624734417943681,2.1402389804600274e-30,0.8070947170649754,0.5871177918372399
500,-0.07351303100585938,0.8689787662699782,1.208204657025436e-44,0.8070947170649754,0.5897199216274839
